MaxDataDiskCount    MemoryInMb    Name                    NumberOfCores    OsDiskSizeInMb    ResourceDiskSizeInMb
8                   16384         Standard_D4_v3          4                1047552           102400
16                  32768         Standard_D8_v3          8                1047552           204800
32                  65536         Standard_D16_v3         16               1047552           409600
32                  131072        Standard_D32_v3         32               1047552           819200
32                  196608        Standard_D48_v3         48               1047552           1228800
32                  262144        Standard_D64_v3         64               1047552           1638400
4                   8192          Standard_D2s_v3         2                1047552           16384
8                   16384         Standard_D4s_v3         4                1047552           32768
16                  32768         Standard_D8s_v3         8                1047552           65536
32                  65536         Standard_D16s_v3        16               1047552           131072
32                  131072        Standard_D32s_v3        32               1047552           262144
32                  196608        Standard_D48s_v3        48               1047552           393216
32                  262144        Standard_D64s_v3        64               1047552           524288
4                   16384         Standard_E2_v3          2                1047552           51200
8                   32768         Standard_E4_v3          4                1047552           102400
16                  65536         Standard_E8_v3          8                1047552           204800
32                  131072        Standard_E16_v3         16               1047552           409600
32                  163840        Standard_E20_v3         20               1047552           512000
32                  262144        Standard_E32_v3         32               1047552           819200
32                  393216        Standard_E48_v3         48               1047552           1228800
32                  442368        Standard_E64_v3         64               1047552           1638400
4                   16384         Standard_E2s_v3         2                1047552           32768
8                   32768         Standard_E4-2s_v3       4                1047552           65536
8                   32768         Standard_E4s_v3         4                1047552           65536
16                  65536         Standard_E8-2s_v3       8                1047552           131072
16                  65536         Standard_E8-4s_v3       8                1047552           131072
16                  65536         Standard_E8s_v3         8                1047552           131072
32                  131072        Standard_E16-4s_v3      16               1047552           262144
32                  131072        Standard_E16-8s_v3      16               1047552           262144
32                  131072        Standard_E16s_v3        16               1047552           262144
32                  163840        Standard_E20s_v3        20               1047552           327680
32                  262144        Standard_E32-8s_v3      32               1047552           524288
32                  262144        Standard_E32-16s_v3     32               1047552           524288
32                  262144        Standard_E32s_v3        32               1047552           524288
32                  393216        Standard_E48s_v3        48               1047552           786432
32                  442368        Standard_E64-16s_v3     64               1047552           884736
32                  442368        Standard_E64-32s_v3     64               1047552           884736
32                  442368        Standard_E64s_v3        64               1047552           884736
1                   768           Standard_A0             1                1047552           20480
2                   1792          Standard_A1             1                1047552           71680
4                   3584          Standard_A2             2                1047552           138240
8                   7168          Standard_A3             4                1047552           291840
4                   14336         Standard_A5             2                1047552           138240
16                  14336         Standard_A4             8                1047552           619520
8                   28672         Standard_A6             4                1047552           291840
16                  57344         Standard_A7             8                1047552           619520
1                   768           Basic_A0                1                1047552           20480
2                   1792          Basic_A1                1                1047552           40960
4                   3584          Basic_A2                2                1047552           61440
8                   7168          Basic_A3                4                1047552           122880
16                  14336         Basic_A4                8                1047552           245760
8                   32768         Standard_DC8_v2         8                1047552           409600
1                   4096          Standard_DC1s_v2        1                1047552           51200
2                   8192          Standard_DC2s_v2        2                1047552           102400
4                   16384         Standard_DC4s_v2        4                1047552           204800
32                  442368        Standard_E64i_v3        64               1047552           1638400
4                   3584          Standard_D1             1                1047552           51200
8                   7168          Standard_D2             2                1047552           102400
16                  14336         Standard_D3             4                1047552           204800
32                  28672         Standard_D4             8                1047552           409600
8                   14336         Standard_D11            2                1047552           102400
16                  28672         Standard_D12            4                1047552           204800
32                  57344         Standard_D13            8                1047552           409600
64                  114688        Standard_D14            16               1047552           819200
4                   3584          Standard_DS1            1                1047552           7168
8                   7168          Standard_DS2            2                1047552           14336
16                  14336         Standard_DS3            4                1047552           28672
32                  28672         Standard_DS4            8                1047552           57344
8                   14336         Standard_DS11           2                1047552           28672
16                  28672         Standard_DS12           4                1047552           57344
32                  57344         Standard_DS13           8                1047552           114688
64                  114688        Standard_DS14           16               1047552           229376
32                  442368        Standard_E64is_v3       64               1047552           884736
4                   16384         Standard_E2_v4          2                1047552           0
8                   32768         Standard_E4_v4          4                1047552           0
16                  65536         Standard_E8_v4          8                1047552           0
32                  131072        Standard_E16_v4         16               1047552           0
32                  163840        Standard_E20_v4         20               1047552           0
32                  262144        Standard_E32_v4         32               1047552           0
32                  393216        Standard_E48_v4         48               1047552           0
32                  516096        Standard_E64_v4         64               1047552           0
4                   16384         Standard_E2d_v4         2                1047552           76800
8                   32768         Standard_E4d_v4         4                1047552           153600
16                  65536         Standard_E8d_v4         8                1047552           307200
32                  131072        Standard_E16d_v4        16               1047552           614400
32                  163840        Standard_E20d_v4        20               1047552           768000
32                  262144        Standard_E32d_v4        32               1047552           1228800
32                  393216        Standard_E48d_v4        48               1047552           1843200
32                  516096        Standard_E64d_v4        64               1047552           2457600
4                   16384         Standard_E2s_v4         2                1047552           0
8                   32768         Standard_E4-2s_v4       4                1047552           0
8                   32768         Standard_E4s_v4         4                1047552           0
16                  65536         Standard_E8-2s_v4       8                1047552           0
16                  65536         Standard_E8-4s_v4       8                1047552           0
16                  65536         Standard_E8s_v4         8                1047552           0
32                  131072        Standard_E16-4s_v4      16               1047552           0
32                  131072        Standard_E16-8s_v4      16               1047552           0
32                  131072        Standard_E16s_v4        16               1047552           0
32                  163840        Standard_E20s_v4        20               1047552           0
32                  262144        Standard_E32-8s_v4      32               1047552           0
32                  262144        Standard_E32-16s_v4     32               1047552           0
32                  262144        Standard_E32s_v4        32               1047552           0
32                  393216        Standard_E48s_v4        48               1047552           0
32                  516096        Standard_E64-16s_v4     64               1047552           0
32                  516096        Standard_E64-32s_v4     64               1047552           0
32                  516096        Standard_E64s_v4        64               1047552           0
32                  516096        Standard_E80is_v4       80               1047552           0
4                   16384         Standard_E2ds_v4        2                1047552           76800
8                   32768         Standard_E4-2ds_v4      4                1047552           153600
8                   32768         Standard_E4ds_v4        4                1047552           153600
16                  65536         Standard_E8-2ds_v4      8                1047552           307200
16                  65536         Standard_E8-4ds_v4      8                1047552           307200
16                  65536         Standard_E8ds_v4        8                1047552           307200
32                  131072        Standard_E16-4ds_v4     16               1047552           614400
32                  131072        Standard_E16-8ds_v4     16               1047552           614400
32                  131072        Standard_E16ds_v4       16               1047552           614400
32                  163840        Standard_E20ds_v4       20               1047552           768000
32                  262144        Standard_E32-8ds_v4     32               1047552           1228800
32                  262144        Standard_E32-16ds_v4    32               1047552           1228800
32                  262144        Standard_E32ds_v4       32               1047552           1228800
32                  393216        Standard_E48ds_v4       48               1047552           1843200
32                  516096        Standard_E64-16ds_v4    64               1047552           2457600
32                  516096        Standard_E64-32ds_v4    64               1047552           2457600
32                  516096        Standard_E64ds_v4       64               1047552           2457600
32                  516096        Standard_E80ids_v4      80               1047552           4362240
4                   8192          Standard_D2d_v4         2                1047552           76800
8                   16384         Standard_D4d_v4         4                1047552           153600
16                  32768         Standard_D8d_v4         8                1047552           307200
32                  65536         Standard_D16d_v4        16               1047552           614400
32                  131072        Standard_D32d_v4        32               1047552           1228800
32                  196608        Standard_D48d_v4        48               1047552           1843200
32                  262144        Standard_D64d_v4        64               1047552           2457600
4                   8192          Standard_D2_v4          2                1047552           0
8                   16384         Standard_D4_v4          4                1047552           0
16                  32768         Standard_D8_v4          8                1047552           0
32                  65536         Standard_D16_v4         16               1047552           0
32                  131072        Standard_D32_v4         32               1047552           0
32                  196608        Standard_D48_v4         48               1047552           0
32                  262144        Standard_D64_v4         64               1047552           0
4                   8192          Standard_D2ds_v4        2                1047552           76800
8                   16384         Standard_D4ds_v4        4                1047552           153600
16                  32768         Standard_D8ds_v4        8                1047552           307200
32                  65536         Standard_D16ds_v4       16               1047552           614400
32                  131072        Standard_D32ds_v4       32               1047552           1228800
32                  196608        Standard_D48ds_v4       48               1047552           1843200
32                  262144        Standard_D64ds_v4       64               1047552           2457600
4                   8192          Standard_D2s_v4         2                1047552           0
8                   16384         Standard_D4s_v4         4                1047552           0
16                  32768         Standard_D8s_v4         8                1047552           0
32                  65536         Standard_D16s_v4        16               1047552           0
32                  131072        Standard_D32s_v4        32               1047552           0
32                  196608        Standard_D48s_v4        48               1047552           0
32                  262144        Standard_D64s_v4        64               1047552           0
4                   4096          Standard_F2s_v2         2                1047552           16384
8                   8192          Standard_F4s_v2         4                1047552           32768
16                  16384         Standard_F8s_v2         8                1047552           65536
32                  32768         Standard_F16s_v2        16               1047552           131072
32                  65536         Standard_F32s_v2        32               1047552           262144
32                  98304         Standard_F48s_v2        48               1047552           393216
32                  131072        Standard_F64s_v2        64               1047552           524288
32                  147456        Standard_F72s_v2        72               1047552           589824
24                  57344         Standard_NV6            6                1047552           389120
48                  114688        Standard_NV12           12               1047552           696320
64                  229376        Standard_NV24           24               1047552           1474560
24                  57344         Standard_NV6_Promo      6                1047552           389120
48                  114688        Standard_NV12_Promo     12               1047552           696320
64                  229376        Standard_NV24_Promo     24               1047552           1474560
12                  114688        Standard_NC6s_v3        6                1047552           344064
24                  229376        Standard_NC12s_v3       12               1047552           688128
32                  458752        Standard_NC24rs_v3      24               1047552           1376256
32                  458752        Standard_NC24s_v3       24               1047552           1376256
4                   233472        Standard_HB60rs         60               1047552           716800
8                   224000        Standard_M8-2ms         8                1047552           256000
8                   224000        Standard_M8-4ms         8                1047552           256000
8                   224000        Standard_M8ms           8                1047552           256000
16                  448000        Standard_M16-4ms        16               1047552           512000
16                  448000        Standard_M16-8ms        16               1047552           512000
16                  448000        Standard_M16ms          16               1047552           512000
32                  896000        Standard_M32-8ms        32               1047552           1024000
32                  896000        Standard_M32-16ms       32               1047552           1024000
32                  262144        Standard_M32ls          32               1047552           1024000
32                  896000        Standard_M32ms          32               1047552           1024000
32                  196608        Standard_M32ts          32               1047552           1024000
64                  1792000       Standard_M64-16ms       64               1047552           2048000
64                  1792000       Standard_M64-32ms       64               1047552           2048000
64                  524288        Standard_M64ls          64               1047552           2048000
64                  1792000       Standard_M64ms          64               1047552           2048000
64                  1024000       Standard_M64s           64               1047552           2048000
64                  3891200       Standard_M128-32ms      128              1047552           4096000
64                  3891200       Standard_M128-64ms      128              1047552           4096000
64                  3891200       Standard_M128ms         128              1047552           4096000
64                  2048000       Standard_M128s          128              1047552           4096000
64                  1024000       Standard_M64            64               1047552           8192000
64                  1792000       Standard_M64m           64               1047552           8192000
64                  2048000       Standard_M128           128              1047552           16384000
64                  3891200       Standard_M128m          128              1047552           16384000
4                   8192          Standard_D2a_v4         2                1047552           51200
8                   16384         Standard_D4a_v4         4                1047552           102400
16                  32768         Standard_D8a_v4         8                1047552           204800
32                  65536         Standard_D16a_v4        16               1047552           409600
32                  131072        Standard_D32a_v4        32               1047552           819200
32                  196608        Standard_D48a_v4        48               1047552           1228800
32                  262144        Standard_D64a_v4        64               1047552           1638400
32                  393216        Standard_D96a_v4        96               1047552           2457600
4                   8192          Standard_D2as_v4        2                1047552           16384
8                   16384         Standard_D4as_v4        4                1047552           32768
16                  32768         Standard_D8as_v4        8                1047552           65536
32                  65536         Standard_D16as_v4       16               1047552           131072
32                  131072        Standard_D32as_v4       32               1047552           262144
32                  196608        Standard_D48as_v4       48               1047552           393216
32                  262144        Standard_D64as_v4       64               1047552           524288
32                  393216        Standard_D96as_v4       96               1047552           786432
4                   16384         Standard_E2a_v4         2                1047552           51200
8                   32768         Standard_E4a_v4         4                1047552           102400
16                  65536         Standard_E8a_v4         8                1047552           204800
32                  131072        Standard_E16a_v4        16               1047552           409600
32                  163840        Standard_E20a_v4        20               1047552           512000
32                  262144        Standard_E32a_v4        32               1047552           819200
32                  393216        Standard_E48a_v4        48               1047552           1228800
32                  524288        Standard_E64a_v4        64               1047552           1638400
32                  688128        Standard_E96a_v4        96               1047552           2457600
4                   16384         Standard_E2as_v4        2                1047552           32768
8                   32768         Standard_E4as_v4        4                1047552           65536
16                  65536         Standard_E8as_v4        8                1047552           131072
32                  131072        Standard_E16as_v4       16               1047552           262144
32                  163840        Standard_E20as_v4       20               1047552           327680
32                  262144        Standard_E32as_v4       32               1047552           524288
32                  393216        Standard_E48as_v4       48               1047552           786432
32                  524288        Standard_E64as_v4       64               1047552           884736
32                  688128        Standard_E96as_v4       96               1047552           1376256
8                   32768         Standard_E4-2as_v4      4                1047552           65536
16                  65536         Standard_E8-2as_v4      8                1047552           131072
16                  65536         Standard_E8-4as_v4      8                1047552           131072
32                  131072        Standard_E16-4as_v4     16               1047552           262144
32                  131072        Standard_E16-8as_v4     16               1047552           262144
32                  262144        Standard_E32-8as_v4     32               1047552           524288
32                  262144        Standard_E32-16as_v4    32               1047552           524288
32                  524288        Standard_E64-16as_v4    64               1047552           884736
32                  524288        Standard_E64-32as_v4    64               1047552           884736
32                  688128        Standard_E96-24as_v4    96               1047552           1376256
32                  688128        Standard_E96-48as_v4    96               1047552           1376256
24                  57344         Standard_NC6            6                1047552           389120
48                  114688        Standard_NC12           12               1047552           696320
64                  229376        Standard_NC24           24               1047552           1474560
24                  57344         Standard_NC6_Promo      6                1047552           389120
48                  114688        Standard_NC12_Promo     12               1047552           696320
64                  229376        Standard_NC24_Promo     24               1047552           1474560
4                   360448        Standard_HC44rs         44               1047552           716800
8                   14336         Standard_NV4as_v4       4                1047552           90112
16                  28672         Standard_NV8as_v4       8                1047552           180224
32                  57344         Standard_NV16as_v4      16               1047552           360448
32                  114688        Standard_NV32as_v4      32               1047552           720896
8                   466944        Standard_HB120rs_v2     120              1047552           960000
64                  5836800       Standard_M208ms_v2      208              1047552           4194304
64                  2918400       Standard_M208s_v2       208              1047552           4194304
64                  5836800       Standard_M416-208s_v2   416              1047552           8388608
64                  5836800       Standard_M416s_v2       416              1047552           8388608
64                  11673600      Standard_M416-208ms_v2  416              1047552           8388608
64                  11673600      Standard_M416ms_v2      416              1047552           8388608
64                  229376        Standard_NC24r          24               1047552           1474560
64                  229376        Standard_NC24r_Promo    24               1047552           1474560
8                   688128        Standard_ND40rs_v2      40               1047552           2969600
12                  114688        Standard_NV6s_v2        6                1047552           344064
24                  229376        Standard_NV12s_v2       12               1047552           688128
32                  458752        Standard_NV24s_v2       24               1047552           1376256
12                  114688        Standard_NV12s_v3       12               1047552           344064
24                  229376        Standard_NV24s_v3       24               1047552           688128
32                  458752        Standard_NV48s_v3       48               1047552           1376256
32                  57344         Standard_H8             8                1047552           1024000
32                  57344         Standard_H8_Promo       8                1047552           1024000
64                  114688        Standard_H16            16               1047552           2048000
64                  114688        Standard_H16_Promo      16               1047552           2048000
32                  114688        Standard_H8m            8                1047552           1024000
32                  114688        Standard_H8m_Promo      8                1047552           1024000
64                  229376        Standard_H16m           16               1047552           2048000
64                  229376        Standard_H16m_Promo     16               1047552           2048000
64                  114688        Standard_H16r           16               1047552           2048000
64                  114688        Standard_H16r_Promo     16               1047552           2048000
64                  229376        Standard_H16mr          16               1047552           2048000
64                  229376        Standard_H16mr_Promo    16               1047552           2048000
16                  921600        Standard_ND96asr_v4     96               1047552           2969600
16                  65536         Standard_L8s_v2         8                1047552           1830912
32                  131072        Standard_L16s_v2        16               1047552           3661824
32                  262144        Standard_L32s_v2        32               1047552           7323648
32                  393216        Standard_L48s_v2        48               1047552           10985472
32                  524288        Standard_L64s_v2        64               1047552           14647296
32                  655360        Standard_L80s_v2        80               1047552           18309120
8                   28672         Standard_NC4as_T4_v3    4                1047552           180224
16                  57344         Standard_NC8as_T4_v3    8                1047552           360448
32                  112640        Standard_NC16as_T4_v3   16               1047552           360448
32                  450560        Standard_NC64as_T4_v3   64               1047552           2883584
32                  896000        Standard_M32ms_v2       32               1047552           0
64                  1835008       Standard_M64ms_v2       64               1047552           0
64                  1048576       Standard_M64s_v2        64               1047552           0
64                  3985408       Standard_M128ms_v2      128              1047552           0
64                  2097152       Standard_M128s_v2       128              1047552           0
64                  4194304       Standard_M192ims_v2     192              1047552           0
64                  2097152       Standard_M192is_v2      192              1047552           0
32                  896000        Standard_M32dms_v2      32               1047552           1048576
64                  1835008       Standard_M64dms_v2      64               1047552           2097152
64                  1048576       Standard_M64ds_v2       64               1047552           2097152
64                  3985408       Standard_M128dms_v2     128              1047552           4194304
64                  2097152       Standard_M128ds_v2      128              1047552           4194304
64                  4194304       Standard_M192idms_v2    192              1047552           4194304
64                  2097152       Standard_M192ids_v2     192              1047552           4194304
12                  114688        Standard_NC6s_v2        6                1047552           344064
24                  229376        Standard_NC12s_v2       12               1047552           688128
32                  458752        Standard_NC24rs_v2      24               1047552           1376256
32                  458752        Standard_NC24s_v2       24               1047552           1376256
32                  458752        Standard_HB120-16rs_v3  120              1047552           1920000
32                  458752        Standard_HB120-32rs_v3  120              1047552           1920000
32                  458752        Standard_HB120-64rs_v3  120              1047552           1920000
32                  458752        Standard_HB120-96rs_v3  120              1047552           1920000
32                  458752        Standard_HB120rs_v3     120              1047552           1920000
